,alt,src,species_code
67,Greater Rhea,64244651,grerhe1
68,Greater Rhea,77029681,grerhe1
69,Greater Rhea,45163301,grerhe1
70,Greater Rhea,204357901,grerhe1
71,Greater Rhea,340119791,grerhe1
72,Greater Rhea,708243,grerhe1
73,Greater Rhea,86390771,grerhe1
74,Greater Rhea,461763101,grerhe1
75,Greater Rhea,557612121,grerhe1
76,Greater Rhea,73704161,grerhe1
77,Greater Rhea,610568678,grerhe1
78,Greater Rhea,205637591,grerhe1
79,Greater Rhea,205637581,grerhe1
80,Greater Rhea,205637571,grerhe1
81,Greater Rhea,612036641,grerhe1
82,Greater Rhea,462134471,grerhe1
83,Greater Rhea,205637561,grerhe1
84,Greater Rhea,205637551,grerhe1
85,Greater Rhea,204884551,grerhe1
86,Greater Rhea,204565491,grerhe1
87,Greater Rhea,152302631,grerhe1
88,Greater Rhea,204580561,grerhe1
89,Greater Rhea,206059721,grerhe1
90,Lesser Rhea,611647267,lesrhe2
91,Lesser Rhea,611647266,lesrhe2
92,Lesser Rhea (Darwin's),22488731,lesrhe2
93,Lesser Rhea (Darwin's),22488741,lesrhe2
94,Lesser Rhea (Darwin's),372794851,lesrhe2
95,Lesser Rhea,204772781,lesrhe2
96,Lesser Rhea,323992101,lesrhe2
97,Lesser Rhea,70417821,lesrhe2
98,Lesser Rhea,66569831,lesrhe2
99,Lesser Rhea,611647264,lesrhe2
100,Lesser Rhea (Darwin's),61069751,lesrhe2
101,Lesser Rhea,492037911,lesrhe2
102,Lesser Rhea (Puna),272199611,lesrhe2
103,Lesser Rhea (Darwin's),118743351,lesrhe2
104,Lesser Rhea,105156541,lesrhe2
105,Lesser Rhea (Darwin's),35444651,lesrhe2
106,Lesser Rhea (Puna),612425442,lesrhe2
107,Lesser Rhea (Darwin's),204533551,lesrhe2
108,Lesser Rhea (Darwin's),45955501,lesrhe2
109,Lesser Rhea (Darwin's),71580271,lesrhe2
110,Lesser Rhea (Darwin's),34224791,lesrhe2
111,Lesser Rhea,323992051,lesrhe2
112,Lesser Rhea (Darwin's),309272341,lesrhe2
113,Lesser Rhea (Darwin's),309266651,lesrhe2
114,Lesser Rhea (Darwin's),205690561,lesrhe2
115,Lesser Rhea (Puna),205658291,lesrhe2
116,Lesser Rhea (Darwin's),45379361,lesrhe2
117,Lesser Rhea (Darwin's),613661953,lesrhe2
118,Lesser Rhea (Darwin's),425515801,lesrhe2
119,Lesser Rhea,406080711,lesrhe2
120,Tawny-breasted Tinamou,196303371,tabtin1
121,Tawny-breasted Tinamou,95075131,tabtin1
122,Tawny-breasted Tinamou,206256631,tabtin1
123,Tawny-breasted Tinamou,573617581,tabtin1
124,Tawny-breasted Tinamou,419577931,tabtin1
125,Tawny-breasted Tinamou,419577921,tabtin1
126,Tawny-breasted Tinamou,608842317,tabtin1
127,Tawny-breasted Tinamou,205005251,tabtin1
128,Tawny-breasted Tinamou,419577951,tabtin1
129,Tawny-breasted Tinamou,98718601,tabtin1
130,Tawny-breasted Tinamou,533090211,tabtin1
131,Tawny-breasted Tinamou,419577941,tabtin1
132,Tawny-breasted Tinamou,305353251,tabtin1
133,Tawny-breasted Tinamou,64933811,tabtin1
134,Tawny-breasted Tinamou,419577851,tabtin1
135,Tawny-breasted Tinamou,81340431,tabtin1
136,Tawny-breasted Tinamou,533090221,tabtin1
137,Tawny-breasted Tinamou,177946561,tabtin1
138,Tawny-breasted Tinamou,179734041,tabtin1
139,Tawny-breasted Tinamou,180492311,tabtin1
140,Tawny-breasted Tinamou,419577841,tabtin1
141,Tawny-breasted Tinamou,143580181,tabtin1
142,Tawny-breasted Tinamou,202717591,tabtin1
143,Tawny-breasted Tinamou,424007861,tabtin1
144,Tawny-breasted Tinamou,573617561,tabtin1
145,Tawny-breasted Tinamou,523670891,tabtin1
146,Tawny-breasted Tinamou,419577871,tabtin1
147,Tawny-breasted Tinamou,338249531,tabtin1
148,Tawny-breasted Tinamou,533082741,tabtin1
149,Tawny-breasted Tinamou,523670911,tabtin1
150,Highland Tinamou,331471691,higtin1
151,Highland Tinamou,223908441,higtin1
152,Highland Tinamou,405934811,higtin1
153,Highland Tinamou,398169231,higtin1
154,Highland Tinamou,217290221,higtin1
155,Highland Tinamou,406098301,higtin1
156,Highland Tinamou (Costa Rican),204411071,higtin1
157,Highland Tinamou,406098311,higtin1
158,Highland Tinamou,405934801,higtin1
159,Highland Tinamou,406097671,higtin1
160,Highland Tinamou,401070261,higtin1
161,Highland Tinamou (Costa Rican),205815151,higtin1
162,Highland Tinamou,50709721,higtin1
163,Highland Tinamou,405934791,higtin1
164,Highland Tinamou,339531421,higtin1
165,Highland Tinamou,527082431,higtin1
166,Highland Tinamou,207490111,higtin1
167,Highland Tinamou,598287121,higtin1
168,Highland Tinamou,245119451,higtin1
169,Highland Tinamou,184290611,higtin1
170,Highland Tinamou,70586071,higtin1
171,Highland Tinamou,38249511,higtin1
172,Highland Tinamou,348699011,higtin1
173,Highland Tinamou,395657391,higtin1
174,Highland Tinamou,38249541,higtin1
175,Highland Tinamou,570930821,higtin1
176,Highland Tinamou,521852631,higtin1
177,Highland Tinamou,497460041,higtin1
178,Highland Tinamou,472273051,higtin1
179,Highland Tinamou,395657361,higtin1
180,Hooded Tinamou,120022041,hootin1
181,Hooded Tinamou,32484041,hootin1
182,Hooded Tinamou,560708631,hootin1
183,Hooded Tinamou,560708571,hootin1
184,Hooded Tinamou,306021981,hootin1
185,Hooded Tinamou,399219261,hootin1
186,Hooded Tinamou,426950791,hootin1
187,Hooded Tinamou,521218901,hootin1
188,Hooded Tinamou,521218811,hootin1
189,Hooded Tinamou,612207531,hootin1
190,Hooded Tinamou,131711451,hootin1
191,Hooded Tinamou,527050801,hootin1
192,Hooded Tinamou,204685851,hootin1
193,Hooded Tinamou,173859391,hootin1
194,Hooded Tinamou,501504061,hootin1
195,Hooded Tinamou,612459804,hootin1
196,Hooded Tinamou,612207505,hootin1
197,Hooded Tinamou,612207490,hootin1
198,Gray Tinamou,134848271,grytin1
199,Gray Tinamou,273365951,grytin1
200,Gray Tinamou,32715241,grytin1
201,Gray Tinamou,205906061,grytin1
202,Gray Tinamou,134848291,grytin1
203,Gray Tinamou,514634641,grytin1
204,Gray Tinamou,205761441,grytin1
205,Gray Tinamou,205692401,grytin1
206,Gray Tinamou,160004111,grytin1
207,Gray Tinamou,518851491,grytin1
208,Gray Tinamou,76046761,grytin1
209,Gray Tinamou,204894131,grytin1
210,Gray Tinamou,77165961,grytin1
211,Gray Tinamou,518851481,grytin1
212,Gray Tinamou,204997051,grytin1
213,Gray Tinamou,613726062,grytin1
214,Gray Tinamou,436811781,grytin1
215,Gray Tinamou,214744631,grytin1
216,Gray Tinamou,613726060,grytin1
217,Gray Tinamou,612271268,grytin1
218,Gray Tinamou,449069281,grytin1
219,Gray Tinamou,433439881,grytin1
220,Gray Tinamou,420521831,grytin1
221,Gray Tinamou,393106671,grytin1
222,Gray Tinamou,390203551,grytin1
223,Gray Tinamou,369216651,grytin1
224,Gray Tinamou,214081961,grytin1
225,Gray Tinamou,206060541,grytin1
226,Gray Tinamou,122410281,grytin1
227,Gray Tinamou,122410161,grytin1
228,Solitary Tinamou,175638781,soltin1
229,Solitary Tinamou,179908621,soltin1
230,Solitary Tinamou,204890611,soltin1
231,Solitary Tinamou,110770591,soltin1
232,Solitary Tinamou,64278691,soltin1
233,Solitary Tinamou,405146021,soltin1
234,Solitary Tinamou,134728251,soltin1
235,Solitary Tinamou,112212931,soltin1
236,Solitary Tinamou,217345301,soltin1
237,Solitary Tinamou,134728531,soltin1
238,Solitary Tinamou,509559241,soltin1
239,Solitary Tinamou,134728021,soltin1
240,Solitary Tinamou,211519661,soltin1
241,Solitary Tinamou,33020131,soltin1
242,Solitary Tinamou,203623991,soltin1
243,Solitary Tinamou,63746371,soltin1
244,Solitary Tinamou,206037041,soltin1
245,Solitary Tinamou,205165191,soltin1
246,Solitary Tinamou,205165181,soltin1
247,Solitary Tinamou,204462791,soltin1
248,Solitary Tinamou,204453351,soltin1
249,Solitary Tinamou,168852401,soltin1
250,Solitary Tinamou,87505791,soltin1
251,Solitary Tinamou,266654941,soltin1
252,Solitary Tinamou,165242031,soltin1
253,Solitary Tinamou,582129721,soltin1
254,Solitary Tinamou,520706511,soltin1
255,Solitary Tinamou,465443591,soltin1
256,Solitary Tinamou,218486781,soltin1
257,Solitary Tinamou,405142861,soltin1
258,Black Tinamou,306820431,blatin1
259,Black Tinamou,212977591,blatin1
260,Black Tinamou,26233561,blatin1
261,Black Tinamou,149151971,blatin1
262,Black Tinamou,305777101,blatin1
263,Black Tinamou,203303841,blatin1
264,Black Tinamou,203303861,blatin1
265,Black Tinamou,613644063,blatin1
266,Black Tinamou,613644091,blatin1
267,Black Tinamou,613643839,blatin1
268,Black Tinamou,613643838,blatin1
269,Black Tinamou,203303881,blatin1
270,Black Tinamou,203303871,blatin1
271,Black Tinamou,203303941,blatin1
272,Black Tinamou,564444971,blatin1
273,Black Tinamou,608908032,blatin1
274,Black Tinamou,203303831,blatin1
275,Black Tinamou,608908033,blatin1
276,Black Tinamou,203303821,blatin1
277,Black Tinamou,68691141,blatin1
278,Black Tinamou,205011321,blatin1
279,Black Tinamou,284216811,blatin1
280,Black Tinamou,530686981,blatin1
281,Black Tinamou,177017741,blatin1
282,Black Tinamou,68691121,blatin1
283,Black Tinamou,128354901,blatin1
284,Black Tinamou,284216831,blatin1
285,Black Tinamou,456346271,blatin1
286,Black Tinamou,21846611,blatin1
287,Black Tinamou,21846601,blatin1
288,Great Tinamou,47932941,gretin1
289,Great Tinamou,194119241,gretin1
290,Great Tinamou,173660561,gretin1
291,Great Tinamou,570507071,gretin1
292,Great Tinamou,570507061,gretin1
293,Great Tinamou,570507051,gretin1
294,Great Tinamou,570507031,gretin1
295,Great Tinamou,570507041,gretin1
296,Great Tinamou,170513831,gretin1
297,Great Tinamou,220238251,gretin1
298,Great Tinamou,140444051,gretin1
299,Great Tinamou,176561731,gretin1
300,Great Tinamou,546015281,gretin1
301,Great Tinamou,204421421,gretin1
302,Great Tinamou,546015291,gretin1
303,Great Tinamou,517311211,gretin1
304,Great Tinamou,176561801,gretin1
305,Great Tinamou,204317941,gretin1
306,Great Tinamou,543011881,gretin1
307,Great Tinamou,204421411,gretin1
308,Great Tinamou,51774341,gretin1
309,Great Tinamou,220494871,gretin1
310,Great Tinamou,69564491,gretin1
311,Great Tinamou,205363981,gretin1
312,Great Tinamou,82463901,gretin1
313,Great Tinamou,479978911,gretin1
314,Great Tinamou,243698241,gretin1
315,Great Tinamou,53812431,gretin1
316,Great Tinamou,225382761,gretin1
317,Great Tinamou,99871101,gretin1
318,White-throated Tinamou,212993001,whttin1
319,White-throated Tinamou,204790401,whttin1
320,White-throated Tinamou,106835131,whttin1
321,White-throated Tinamou,121199301,whttin1
322,White-throated Tinamou,204090201,whttin1
323,White-throated Tinamou,39588221,whttin1
324,White-throated Tinamou,39588211,whttin1
325,White-throated Tinamou,452354031,whttin1
326,White-throated Tinamou,454600961,whttin1
327,White-throated Tinamou,106835121,whttin1
328,White-throated Tinamou,39588191,whttin1
329,White-throated Tinamou,518800871,whttin1
330,White-throated Tinamou,39588201,whttin1
331,White-throated Tinamou,104698341,whttin1
332,White-throated Tinamou,279507951,whttin1
333,White-throated Tinamou,35368241,whttin1
334,White-throated Tinamou,532032021,whttin1
335,White-throated Tinamou,421588151,whttin1
336,White-throated Tinamou,151358051,whttin1
337,White-throated Tinamou,39588181,whttin1
338,White-throated Tinamou,603108471,whttin1
339,White-throated Tinamou,421596791,whttin1
340,White-throated Tinamou,488718391,whttin1
341,White-throated Tinamou,260710121,whttin1
342,White-throated Tinamou,532032011,whttin1
343,White-throated Tinamou,123379251,whttin1
344,White-throated Tinamou,205063301,whttin1
345,White-throated Tinamou,608348933,whttin1
346,White-throated Tinamou,606269171,whttin1
347,White-throated Tinamou,606269131,whttin1
348,Cinereous Tinamou,221972671,cintin1
349,Cinereous Tinamou,205209861,cintin1
350,Cinereous Tinamou,221972661,cintin1
351,Cinereous Tinamou,390719871,cintin1
352,Cinereous Tinamou,583160321,cintin1
353,Cinereous Tinamou,112415081,cintin1
354,Cinereous Tinamou,315642021,cintin1
355,Cinereous Tinamou,122233391,cintin1
356,Cinereous Tinamou,89863461,cintin1
357,Cinereous Tinamou,389574321,cintin1
358,Cinereous Tinamou,164924561,cintin1
359,Cinereous Tinamou,35368191,cintin1
360,Cinereous Tinamou,389574271,cintin1
361,Cinereous Tinamou,482881441,cintin1
362,Cinereous Tinamou,173640021,cintin1
363,Cinereous Tinamou,112414941,cintin1
364,Cinereous Tinamou,571444271,cintin1
365,Cinereous Tinamou,114152671,cintin1
366,Cinereous Tinamou,177222061,cintin1
367,Cinereous Tinamou,168489141,cintin1
368,Cinereous Tinamou,120396761,cintin1
369,Cinereous Tinamou,386520001,cintin1
370,Cinereous Tinamou,107721631,cintin1
371,Cinereous Tinamou,248271141,cintin1
372,Cinereous Tinamou,361400681,cintin1
373,Cinereous Tinamou,177222091,cintin1
374,Cinereous Tinamou,166397551,cintin1
375,Cinereous Tinamou,259535621,cintin1
376,Cinereous Tinamou,315641991,cintin1
377,Cinereous Tinamou,174866891,cintin1
378,Berlepsch's Tinamou,249513001,bertin1
379,Berlepsch's Tinamou,400893931,bertin1
380,Berlepsch's Tinamou,225776631,bertin1
381,Berlepsch's Tinamou,547620051,bertin1
382,Berlepsch's Tinamou,610052539,bertin1
383,Berlepsch's Tinamou,451308881,bertin1
384,Berlepsch's Tinamou,437424071,bertin1
385,Berlepsch's Tinamou,555010301,bertin1
386,Berlepsch's Tinamou,204887351,bertin1
387,Berlepsch's Tinamou,437424051,bertin1
388,Berlepsch's Tinamou,140889901,bertin1
389,Berlepsch's Tinamou,586613831,bertin1
390,Berlepsch's Tinamou,555010321,bertin1
391,Berlepsch's Tinamou,135843081,bertin1
392,Berlepsch's Tinamou,530854171,bertin1
393,Berlepsch's Tinamou,140891751,bertin1
394,Berlepsch's Tinamou,611110857,bertin1
395,Berlepsch's Tinamou,610052541,bertin1
396,Berlepsch's Tinamou,610052540,bertin1
397,Berlepsch's Tinamou,601256471,bertin1
398,Berlepsch's Tinamou,586613821,bertin1
399,Little Tinamou,463681451,littin1
400,Little Tinamou,54052821,littin1
401,Little Tinamou,192595371,littin1
402,Little Tinamou,539785041,littin1
403,Little Tinamou,536167701,littin1
404,Little Tinamou,482479881,littin1
405,Little Tinamou,414402891,littin1
406,Little Tinamou,94779681,littin1
407,Little Tinamou,405209601,littin1
408,Little Tinamou,520329191,littin1
409,Little Tinamou,520329171,littin1
410,Little Tinamou,496454861,littin1
411,Little Tinamou,154450251,littin1
412,Little Tinamou,537174421,littin1
413,Little Tinamou,534710961,littin1
414,Little Tinamou,520053941,littin1
415,Little Tinamou,496454871,littin1
416,Little Tinamou,484223531,littin1
417,Little Tinamou,520053891,littin1
418,Little Tinamou,352058821,littin1
419,Little Tinamou,256560311,littin1
420,Little Tinamou,530365791,littin1
421,Little Tinamou,362654111,littin1
422,Little Tinamou,598014131,littin1
423,Little Tinamou,177222171,littin1
424,Little Tinamou,537174401,littin1
425,Little Tinamou,520053931,littin1
426,Little Tinamou,417328031,littin1
427,Little Tinamou,540928271,littin1
428,Little Tinamou,536167791,littin1
429,Tepui Tinamou,325239721,teptin1
430,Tepui Tinamou,242971681,teptin1
431,Tepui Tinamou,325239791,teptin1
432,Brown Tinamou,61307611,brotin1
433,Brown Tinamou,196554581,brotin1
434,Brown Tinamou,68154311,brotin1
435,Brown Tinamou,42283771,brotin1
436,Brown Tinamou (Brown),160208171,brotin1
437,Brown Tinamou,71107641,brotin1
438,Brown Tinamou,473970071,brotin1
439,Brown Tinamou,473969741,brotin1
440,Brown Tinamou,473969731,brotin1
441,Brown Tinamou,88327611,brotin1
442,Brown Tinamou,270990801,brotin1
443,Brown Tinamou,42283721,brotin1
444,Brown Tinamou,30163831,brotin1
445,Brown Tinamou,196554731,brotin1
446,Brown Tinamou,64979401,brotin1
447,Brown Tinamou,448067561,brotin1
448,Brown Tinamou,65064191,brotin1
449,Brown Tinamou,204834581,brotin1
450,Brown Tinamou (Brown),204517651,brotin1
451,Brown Tinamou,249566861,brotin1
452,Brown Tinamou,116607501,brotin1
453,Brown Tinamou,65902111,brotin1
454,Brown Tinamou,170349151,brotin1
455,Brown Tinamou,260958891,brotin1
456,Brown Tinamou,71108871,brotin1
457,Brown Tinamou,473970031,brotin1
458,Brown Tinamou,266604171,brotin1
459,Brown Tinamou,222865531,brotin1
460,Brown Tinamou,219027381,brotin1
461,Brown Tinamou,178605551,brotin1
462,Undulated Tinamou,114152581,undtin1
463,Undulated Tinamou,444039881,undtin1
464,Undulated Tinamou,173383251,undtin1
465,Undulated Tinamou,301072441,undtin1
466,Undulated Tinamou,538793301,undtin1
467,Undulated Tinamou,526983951,undtin1
468,Undulated Tinamou,409060921,undtin1
469,Undulated Tinamou,92403871,undtin1
470,Undulated Tinamou,515908501,undtin1
471,Undulated Tinamou,706086,undtin1
472,Undulated Tinamou,610806334,undtin1
473,Undulated Tinamou,466560591,undtin1
474,Undulated Tinamou,290635841,undtin1
475,Undulated Tinamou,287718041,undtin1
476,Undulated Tinamou,113408011,undtin1
477,Undulated Tinamou,205812251,undtin1
478,Undulated Tinamou,593511431,undtin1
479,Undulated Tinamou,582821821,undtin1
480,Undulated Tinamou,511989381,undtin1
481,Undulated Tinamou,483265971,undtin1
482,Undulated Tinamou,483265951,undtin1
483,Undulated Tinamou,466560601,undtin1
484,Undulated Tinamou,290635811,undtin1
485,Undulated Tinamou,205966261,undtin1
486,Undulated Tinamou,205630391,undtin1
487,Undulated Tinamou,205204561,undtin1
488,Undulated Tinamou,205083701,undtin1
489,Undulated Tinamou,204869531,undtin1
490,Undulated Tinamou,113407931,undtin1
491,Undulated Tinamou,502610851,undtin1
492,Pale-browed Tinamou,125580831,pabtin1
493,Pale-browed Tinamou,134849541,pabtin1
494,Pale-browed Tinamou,34225931,pabtin1
495,Pale-browed Tinamou,205184891,pabtin1
496,Pale-browed Tinamou,205005171,pabtin1
497,Pale-browed Tinamou,204886401,pabtin1
498,Pale-browed Tinamou,205005181,pabtin1
499,Pale-browed Tinamou,34317201,pabtin1
500,Pale-browed Tinamou,612671744,pabtin1
501,Pale-browed Tinamou,516193621,pabtin1
502,Pale-browed Tinamou,392020761,pabtin1
503,Pale-browed Tinamou,571814901,pabtin1
504,Pale-browed Tinamou,248053211,pabtin1
505,Pale-browed Tinamou,715404,pabtin1
506,Pale-browed Tinamou,205756991,pabtin1
507,Pale-browed Tinamou,532595101,pabtin1
508,Pale-browed Tinamou,483685601,pabtin1
509,Pale-browed Tinamou,454873691,pabtin1
510,Pale-browed Tinamou,612679593,pabtin1
511,Pale-browed Tinamou,532595081,pabtin1
512,Pale-browed Tinamou,454873711,pabtin1
513,Pale-browed Tinamou,205906081,pabtin1
514,Pale-browed Tinamou,35127461,pabtin1
515,Pale-browed Tinamou,612679469,pabtin1
516,Pale-browed Tinamou,609538085,pabtin1
517,Pale-browed Tinamou,533086841,pabtin1
518,Pale-browed Tinamou,532595001,pabtin1
519,Pale-browed Tinamou,412397321,pabtin1
520,Pale-browed Tinamou,386941641,pabtin1
521,Pale-browed Tinamou,202492301,pabtin1
522,Brazilian Tinamou,345272791,bratin1
523,Brazilian Tinamou,166800811,bratin1
524,Brazilian Tinamou,112092201,bratin1
525,Brazilian Tinamou,361400731,bratin1
526,Brazilian Tinamou,422501411,bratin1
527,Brazilian Tinamou,606934831,bratin1
528,Brazilian Tinamou,112915691,bratin1
529,Brazilian Tinamou,606934821,bratin1
530,Brazilian Tinamou,606934811,bratin1
531,Gray-legged Tinamou,245800361,gyltin1
532,Gray-legged Tinamou,87387981,gyltin1
533,Gray-legged Tinamou,87388061,gyltin1
534,Gray-legged Tinamou,87388051,gyltin1
535,Gray-legged Tinamou,87388041,gyltin1
536,Red-legged Tinamou,189161491,reltin1
537,Red-legged Tinamou,205458951,reltin1
538,Red-legged Tinamou,205458971,reltin1
539,Red-legged Tinamou,205458941,reltin1
540,Red-legged Tinamou,189161501,reltin1
541,Red-legged Tinamou,189161461,reltin1
542,Red-legged Tinamou,163373031,reltin1
543,Red-legged Tinamou,83155261,reltin1
544,Red-legged Tinamou,83155231,reltin1
545,Red-legged Tinamou,205458961,reltin1
546,Red-legged Tinamou,83155241,reltin1
547,Red-legged Tinamou,386173691,reltin1
548,Red-legged Tinamou,205458981,reltin1
549,Red-legged Tinamou,386173711,reltin1
550,Red-legged Tinamou,608855317,reltin1
551,Red-legged Tinamou,38832971,reltin1
552,Red-legged Tinamou,386625841,reltin1
553,Red-legged Tinamou,608855316,reltin1
554,Red-legged Tinamou,608855315,reltin1
555,Red-legged Tinamou,608855314,reltin1
556,Red-legged Tinamou,608855313,reltin1
557,Red-legged Tinamou,599304111,reltin1
558,Red-legged Tinamou,598313521,reltin1
559,Red-legged Tinamou,598313211,reltin1
560,Yellow-legged Tinamou,104309421,yeltin1
561,Yellow-legged Tinamou,63746171,yeltin1
562,Yellow-legged Tinamou,104309441,yeltin1
563,Yellow-legged Tinamou,64188771,yeltin1
564,Yellow-legged Tinamou,104309431,yeltin1
565,Yellow-legged Tinamou (noctivagus),204209231,yeltin1
566,Yellow-legged Tinamou,104309461,yeltin1
567,Yellow-legged Tinamou,35060851,yeltin1
568,Yellow-legged Tinamou,139293051,yeltin1
569,Yellow-legged Tinamou,210142221,yeltin1
570,Yellow-legged Tinamou (noctivagus),492811851,yeltin1
571,Yellow-legged Tinamou (zabele),612237788,yeltin1
572,Yellow-legged Tinamou,132215701,yeltin1
573,Yellow-legged Tinamou,134378181,yeltin1
574,Yellow-legged Tinamou,104309451,yeltin1
575,Yellow-legged Tinamou (noctivagus),488899821,yeltin1
576,Yellow-legged Tinamou,268968921,yeltin1
577,Yellow-legged Tinamou (noctivagus),195639921,yeltin1
578,Yellow-legged Tinamou (noctivagus),195639911,yeltin1
579,Yellow-legged Tinamou,134378221,yeltin1
580,Yellow-legged Tinamou,219851991,yeltin1
581,Yellow-legged Tinamou,406860011,yeltin1
582,Yellow-legged Tinamou,132215671,yeltin1
583,Yellow-legged Tinamou,393666151,yeltin1
584,Yellow-legged Tinamou (noctivagus),370124451,yeltin1
585,Yellow-legged Tinamou (noctivagus),488893111,yeltin1
586,Yellow-legged Tinamou,469752141,yeltin1
587,Yellow-legged Tinamou,461227661,yeltin1
588,Yellow-legged Tinamou (noctivagus),604559791,yeltin1
589,Yellow-legged Tinamou,461227681,yeltin1
590,Black-capped Tinamou,112415291,blctin1
591,Black-capped Tinamou,193322461,blctin1
592,Black-capped Tinamou,112415251,blctin1
593,Black-capped Tinamou,175310801,blctin1
594,Black-capped Tinamou,74756811,blctin1
595,Black-capped Tinamou,467789741,blctin1
596,Black-capped Tinamou,474076331,blctin1
597,Black-capped Tinamou,205686041,blctin1
598,Black-capped Tinamou,143076831,blctin1
599,Black-capped Tinamou,471673491,blctin1
600,Black-capped Tinamou,143076821,blctin1
601,Black-capped Tinamou,228027631,blctin1
602,Black-capped Tinamou,610744801,blctin1
603,Black-capped Tinamou,610744802,blctin1
604,Black-capped Tinamou,610744803,blctin1
605,Slaty-breasted Tinamou,334291001,slbtin1
606,Slaty-breasted Tinamou,291961701,slbtin1
607,Slaty-breasted Tinamou,49993931,slbtin1
608,Slaty-breasted Tinamou,291961691,slbtin1
609,Slaty-breasted Tinamou,609510124,slbtin1
610,Slaty-breasted Tinamou,609509832,slbtin1
611,Slaty-breasted Tinamou,368138611,slbtin1
612,Slaty-breasted Tinamou,310599691,slbtin1
613,Slaty-breasted Tinamou,368138691,slbtin1
614,Slaty-breasted Tinamou,438060101,slbtin1
615,Slaty-breasted Tinamou,368377061,slbtin1
616,Slaty-breasted Tinamou,609509953,slbtin1
617,Slaty-breasted Tinamou,363175611,slbtin1
618,Slaty-breasted Tinamou,609405625,slbtin1
619,Slaty-breasted Tinamou,574364751,slbtin1
620,Slaty-breasted Tinamou,543208401,slbtin1
621,Slaty-breasted Tinamou,444695211,slbtin1
622,Slaty-breasted Tinamou,204911761,slbtin1
623,Slaty-breasted Tinamou,438641891,slbtin1
624,Slaty-breasted Tinamou,438060091,slbtin1
625,Slaty-breasted Tinamou,113596271,slbtin1
626,Slaty-breasted Tinamou,26593361,slbtin1
627,Slaty-breasted Tinamou,609394109,slbtin1
628,Slaty-breasted Tinamou,575487121,slbtin1
629,Slaty-breasted Tinamou,240040351,slbtin1
630,Slaty-breasted Tinamou,586039191,slbtin1
631,Slaty-breasted Tinamou,586039171,slbtin1
632,Slaty-breasted Tinamou,586039161,slbtin1
633,Slaty-breasted Tinamou,582829011,slbtin1
634,Slaty-breasted Tinamou,575487061,slbtin1
635,Choco Tinamou,144772611,chotin1
636,Choco Tinamou,109285861,chotin1
637,Choco Tinamou,144772601,chotin1
638,Variegated Tinamou,33587421,vartin1
639,Variegated Tinamou,21349301,vartin1
640,Variegated Tinamou,108353581,vartin1
641,Variegated Tinamou,230971121,vartin1
642,Variegated Tinamou,192766211,vartin1
643,Variegated Tinamou,421602711,vartin1
644,Variegated Tinamou,283289191,vartin1
